,Gene_symbol,Log_FoldChange,PValue
650,FAM163A,-1.115,0.00118124474045979
651,EPHA5,-1.109,0.00117234161260338
654,SNAP25,-1.043,0.0011805779863345801
656,NSMCE3,-1.7730000000000001,0.0011848505841526198
657,TMEM17,-1.1420000000000001,0.00119635145358841
674,ST8SIA2,-1.815,0.00131773537653057
690,MARCH4,-1.0190000000000001,0.0013915559915239999
692,CALB1,-1.21,0.00138181765503156
698,GRM8,-1.258,0.00140474511713679
699,PGBD5,-1.01,0.00140639877484715
702,TAGLN,-2.117,0.00142898169448793
705,NETO1,-1.171,0.00145905491336406
707,HTR7P1,-1.125,0.00146802747276419
708,HSPA8,-1.037,0.0014697196551891
713,INPP5F,-1.107,0.00148048963295991
718,COL8A1,-2.013,0.00151281626726966
723,IGFBP2,-1.141,0.00152594110623826
731,LRFN2,-1.213,0.00154583231317476
732,NHLRC4,-4.124,0.00155379614234887
733,MSANTD1,-1.222,0.0015596106308758
735,ADAMTS8,-1.105,0.00155589869875546
740,CYP24A1,-3.641,0.00157845599698931
742,AP2A2,-1.15,0.00159070665016165
743,CD244,-3.093,0.00160134125873105
745,SPHKAP,-1.185,0.0016137170003069
746,CTGF,-1.301,0.0016169311026310801
748,STS,-1.073,0.00165212143944281
756,P2RX5,-1.063,0.00170959423473756
768,LINC01123,-1.121,0.00177323787914785
774,PPP4R4,-1.273,0.0017933710096704398
775,PPM1E,-1.1520000000000001,0.0017932766650862301
781,HCN1,-1.276,0.00183231006824182
782,CBLN4,-1.079,0.00184147673662875
784,GBE1,-1.155,0.0018690938609712102
788,MYCBP2-AS1,-1.692,0.00188849609536415
790,RTBDN,-1.051,0.0018820587616803102
792,TM2D2,-1.338,0.0018849735524313301
800,GCNT1,-1.484,0.0019369087685574898
802,RXFP1,-1.334,0.00193834523947393
806,IER5,-1.0190000000000001,0.0019557223054458396
807,RELL2,-1.095,0.00196389912387151
810,LOC100294362,-1.3119999999999998,0.00197239481676357
811,PLN,-2.6830000000000003,0.00198730234704073
814,EPHB6,-1.4980000000000002,0.00200439200785628
815,NCR3LG1,-1.0190000000000001,0.0020178020216950103
822,LYPD8,-1.444,0.00204120174588788
828,PDGFB,-1.003,0.00208385506446791
829,AAGAB,-1.075,0.00209284165513755
832,MAS1,-1.246,0.00214155256249318
835,GJB5,-2.545,0.00215135764514758
850,SDHAF4,-1.105,0.0022300416489810303
864,WDR7,-1.159,0.0022889690098281
868,GABRA3,-1.103,0.00230079700606731
871,SUSD1,-1.048,0.0023201451579724602
875,PNOC,-1.176,0.00234541829496121
884,PARM1,-1.28,0.00246417150697882
886,ARMCX5,-1.162,0.00246986917600422
887,HERPUD1,-1.103,0.00247177258126321
895,ADTRP,-1.43,0.00250353693514819
903,CYP26B1,-1.3780000000000001,0.002536124636021
904,ADNP2,-1.27,0.00252843277435297
909,HSPB2,-2.1430000000000002,0.00259972855095951
916,LRRC73,-1.047,0.00263508552471227
918,TGFBR3L,-1.133,0.00264727271140582
928,NME1-NME2,-1.807,0.00271973992080276
929,GALNTL6,-1.13,0.00271581093871307
944,TNFSF10,-1.53,0.0028321037872779103
954,RRP9,-1.081,0.00291688806563259
960,FREM3,-1.7,0.00299520369565562
961,DGAT2,-1.206,0.0029933375578905103
