,Gene_symbol,Log_FoldChange,PValue
1408,IGLON5,1.0090000000000001,0.0117914730756341
1409,TCTEX1D1,1.3619999999999999,0.0118562384367384
1414,EMX2,1.265,0.0118797429476867
1436,MARCH3,1.001,0.012292293782366999
1439,MT3,1.661,0.0123457324368311
1440,SLC15A3,1.01,0.012339342874804
1448,PSAPL1,1.3519999999999999,0.0125667087194764
1449,PLVAP,2.71,0.0126044895842448
1450,KCNH2,1.119,0.0125857592630548
1453,WDR81,1.08,0.0126490058699764
1463,EPHA3,1.148,0.0128007053333378
1480,CMTM2,1.209,0.0131326841012463
1485,TLR9,1.963,0.0133011126549814
1491,BHLHE41,1.3,0.0134321280855142
1492,ROBO3,1.149,0.013422050047174
1504,ZNF835,1.652,0.0135804411985173
1509,LINC01182,1.162,0.0138135568439934
1513,NR5A2,1.261,0.0138917682006201
1514,SYNPR,1.567,0.0138654612758113
1517,LHFPL4,1.0590000000000002,0.0139395855572734
1522,ZNF578,1.163,0.0140711452888971
1532,ZNF729,1.159,0.0143353108222371
1533,ELOVL3,1.4180000000000001,0.0143314704442381
1545,PARD3-AS1,1.403,0.0145706270404418
1548,SH3TC2,1.033,0.0145911631415654
1564,IGSF21,1.945,0.015103079653138002
1573,IGSF11,1.492,0.0153825726344639
1577,ENKUR,1.05,0.0154793610066068
1581,RGS7,1.48,0.0156042495342682
1587,MEOX1,1.4869999999999999,0.0157563790916846
1592,PKD2L1,1.395,0.0157956727844065
1596,TLR5,1.36,0.0159188237718838
1598,CLDN16,1.031,0.0159448691182433
1603,SYT2,1.162,0.0160873252876048
1611,PAX1,1.0390000000000001,0.0163206274168985
1618,BRINP2,1.615,0.0165019826247663
1646,C4B,1.304,0.0174250919289162
1660,ZNF439,1.308,0.0178581523948199
1665,LINC01563,1.7380000000000002,0.0179026652481455
1667,LOC644838,1.5,0.0179491725836733
1670,BEAN1-AS1,1.818,0.0179938641581661
1678,LOC100288866,1.5119999999999998,0.0182990195800362
1688,HSPA2,1.044,0.0185395664543516
1691,ABCC3,1.389,0.0186317630622519
1693,MAEL,1.055,0.0187024413525807
1706,TC2N,2.193,0.018940513316437
1711,PON3,1.005,0.0190169695301655
1722,KCNQ1,1.306,0.0193919428450666
1744,SEZ6,1.469,0.0200279807707022
1746,KHDC3L,1.58,0.0202561611749725
1747,PDE2A,1.266,0.0202621366045044
1753,LOC105373878,1.686,0.0206097838008836
1768,C9orf50,1.112,0.0210712848784229
1777,MAGEE2,1.739,0.0212195027569068
1779,OXER1,1.17,0.0212650703434492
1781,PAH,1.5859999999999999,0.0213815379672621
1782,IQCF1,1.131,0.021445890370059
1788,LOC102723927,1.291,0.0215032556150342
