,Gene_symbol,Log_FoldChange,PValue
508,VEGFA,-1.131,0.000466510856979138
509,SLC12A1,-5.037,0.000472156156277939
510,S100P,-2.701,0.000472641348181296
511,SP1,-1.031,0.00047243850874699103
512,NKX3-1,-2.4619999999999997,0.000474514376416661
513,CCDC125,-1.7309999999999999,0.00047641905149010803
514,LST1,-1.212,0.000479233579865375
515,TMCC1,-1.318,0.000480132449812384
516,FCGR1B,-1.5430000000000001,0.000484085118952564
517,FUT7,-1.492,0.000482721012715171
518,KLHL2,-1.196,0.00048429073769914294
519,YTHDF3,-1.023,0.00048369110830339903
520,MPZL3,-1.5830000000000002,0.000488895989508926
521,LOC102477328,-2.237,0.000494197267976813
522,ZBED6,-1.4469999999999998,0.000492915354231967
523,NOTCH1,-1.422,0.000491540531220695
524,SLC11A1,-1.2890000000000001,0.000494272886681788
525,CMTM1,-1.4180000000000001,0.000498251465285948
526,CXCL1,-2.7239999999999998,0.0004999977044321451
527,TLE3,-1.6119999999999999,0.0005077692767153691
528,STXBP5,-1.192,0.0005111528687582201
529,CCDC186,-1.358,0.000512977183191926
530,FOXD4,-2.2319999999999998,0.0005195665683688861
531,SLC22A1,-2.633,0.000518197240208076
534,ECE1,-1.189,0.000520675996445592
536,RASGRP4,-1.473,0.000524249521293971
537,PPP4R1,-1.517,0.0005277453672145639
538,FGL2,-1.122,0.000527571393583373
540,HIST2H2AA4,-1.9769999999999999,0.000532627028549206
541,PLIN5,-2.31,0.000536289504842943
542,XKR8,-1.4369999999999998,0.000536323130162479
543,RNF19B,-1.433,0.00053535198173605
544,LOC400499,-2.7110000000000003,0.0005376528515674179
545,TRIM10,-4.696000000000001,0.0005404165326499309
546,ST3GAL6,-1.178,0.000544014779597987
547,AOC4P,-3.1839999999999997,0.0005529518808198731
549,ABCG1,-1.07,0.0005509137057060169
550,CREB1,-1.0290000000000001,0.000550058907986874
551,FAM49A,-1.038,0.00055420290479297
552,NDEL1,-1.3359999999999999,0.000550305768614219
553,NCOA2,-1.041,0.0005523601355808981
554,PHC2,-1.535,0.000550298710319896
555,PPIF,-1.5419999999999998,0.000563867047594296
556,RIPK4,-2.008,0.000567461095138887
