,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
844,PXK,-1.18625094,0.0112545,926.0
852,GNA13,-1.12928467,0.011381700000000002,934.0
863,GSPT2,-1.11878734,0.0116246,947.0
874,CCDC115,-1.12300071,0.0117781,960.0
883,RARS2,-1.33325498,0.011973,970.0
899,MAP7D1,-1.03666083,0.0121274,988.0
905,EIF5,-1.22198923,0.0122079,996.0
908,APCDD1,-1.02314868,0.0123028,1001.0
911,SOCS4,-1.29311494,0.0123394,1004.0
914,TOR1AIP2,-1.00463691,0.0123677,1007.0
919,PRKCG,-1.00961415,0.0124624,1012.0
933,CNOT6L,-1.13547905,0.0127681,1031.0
938,MEGF8,-1.22049144,0.012818799999999998,1036.0
940,UXS1,-1.05054816,0.0128293,1038.0
955,RUNX1T1,-1.25778501,0.0131248,1057.0
965,MCCC1,-1.03550211,0.0132097,1069.0
992, LOC729080,-1.02698413,0.013585,1098.0
995,NTRK2,-1.26740003,0.0135907,1102.0
1005,ABHD6,-1.33085634,0.013761,1113.0
1026,DNAJA4,-1.03783987,0.014006,1139.0
1044,POLR3GL,-1.15759869,0.0142379,1161.0
1054,TMEM87A,-1.00787256,0.014400799999999997,1175.0
1060,NDUFB9,-1.1603799,0.014454,1181.0
1099,BCAS1,-1.30382221,0.0150079,1232.0
1106,MTUS1,-1.04349131,0.015101,1239.0
1124,ZNF780B,-1.29764896,0.0154274,1258.0
1145,WLS,-1.39733152,0.0157048,1288.0
1180,ULK2,-1.18269402,0.0163064,1329.0
1208, TYW1B,-1.20161493,0.0167343,1360.0
1217,SHC4,-1.00894529,0.016809400000000002,1372.0
1226,PTPN21,-1.17584525,0.016943599999999996,1383.0
1227,KPNA6,-1.14386258,0.016961,1384.0
1228,GPR37L1,-1.17992205,0.0170054,1385.0
1239,SMC4,-1.15642556,0.017181400000000003,1398.0
1248,ZNF275,-1.28658597,0.0172943,1407.0
1253,GPN1,-1.15455301,0.017362,1413.0
1273,SPATA20,-1.10811308,0.0176822,1438.0
1288,PTP4A3,-1.28633485,0.017871400000000003,1453.0
1295,MAGT1,-1.14379212,0.018021900000000004,1462.0
1318,March 1,-1.08676444,0.0184123,1488.0
1339,C8orf4,-1.21487606,0.018774,1513.0
1347,DBNL,-1.13321718,0.0188752,1523.0
1421,ZNF564,-1.38098244,0.0199816,1612.0
1451,NDRG1,-1.13355324,0.0204558,1644.0
1457,ZNF331,-1.04815396,0.020582,1653.0
