,Gene_symbol,Log_FoldChange,PValue
1827,FAM171A2,-1.3319999999999999,0.0153144111614162
1828,SCYL1,-1.151,0.0153457359369452
1834,LSM10,-1.912,0.0154502750915947
1841,RIT2,-1.931,0.0155204843518299
1842,EPHX1,-1.8430000000000002,0.0155082608556905
1843,CTDNEP1,-1.645,0.015546652650629999
1844,RAB5C,-1.218,0.0155171988762894
1845,SPNS1,-1.445,0.0155577649634325
1852,PPP1R16A,-1.473,0.0156529652963674
1853,FBXL19,-1.331,0.0156779953554348
1854,NTSR1,-2.904,0.0156894209951696
1856,SRM,-1.6159999999999999,0.0157043942271464
1857,NAT14,-1.264,0.015714763809651002
1860,FOXO6,-3.86,0.0157750636998747
1861,SRP14,-1.486,0.0157910227768493
1865,CLTA,-1.143,0.0158569875801347
1872,KHDC1L,-3.248,0.0159569938028644
1877,GLIS2,-2.146,0.0160513446213325
1879,BCKDHA,-1.546,0.0160699991068681
1882,CSNK1D,-1.185,0.0161790496599878
1883,C1orf226,-1.479,0.0162170820490968
1886,DRD4,-2.674,0.0162770139598895
1890,MRPL41,-1.754,0.0163204229754967
1891,GAMT,-1.357,0.0163154616847529
1892,ARHGAP39,-1.506,0.016348292718326
1894,GPANK1,-2.6430000000000002,0.0164249580323675
1900,ANAPC11,-1.393,0.0165605651868637
1903,SHROOM2,-1.185,0.0166021334320617
1904,SYNPO,-1.969,0.0166330085051442
1905,PIN1,-1.209,0.0166365798036028
1906,IGLON5,-1.452,0.016651718259109
1910,EHMT2,-1.976,0.0167168238032822
1911,SCARF2,-1.962,0.016728379396098
1913,HCFC1,-1.493,0.016760743271846002
1917,RCAN1,-1.827,0.0168344725319332
1920,CLPTM1,-1.393,0.0168993927918625
1921,CX3CL1,-1.5619999999999998,0.0169400923109827
1923,GABRG3,-1.218,0.0169341013837425
1926,MIR3687-2,-5.357,0.0169831935783602
1927,MIR3687-1,-5.357,0.0169776239040314
1931,PLA2G16,-1.5719999999999998,0.0170387002964234
1938,SLC6A8,-1.2329999999999999,0.0171248744378066
1939,SLC35C1,-1.775,0.0171536941399362
1941,ATP1B2,-1.8940000000000001,0.0171733195122545
1942,GPC4,-1.675,0.0171822152246795
1944,FAM84A,-1.3559999999999999,0.0172063098585035
1947,TMOD1,-2.556,0.0172431963214202
1948,RPS2,-1.367,0.0172294162190695
1954,MAGED4,-1.334,0.0173136269772432
1963,PRRT4,-2.016,0.0173871128695828
1964,NDUFAF3,-1.4709999999999999,0.0174327239858541
1965,MRPL38,-1.368,0.0174158207687756
1966,GADD45GIP1,-1.456,0.0173644822963319
1968,JUND,-1.435,0.0174367743978986
1976,GRIN2D,-2.02,0.0175684795681728
1977,PLEKHJ1,-1.0490000000000002,0.0175428640003141
1978,SPOCK1,-1.526,0.0175306943510371
1979,ATP5L,-1.476,0.017575899935098997
1980,COX7C,-1.329,0.0175680277867479
1981,NDUFS7,-1.74,0.0176026203335924
1986,IQSEC2,-1.726,0.0176665968611025
1987,DDAH2,-1.291,0.0176634327707947
1988,CORO2B,-1.36,0.0176596317228866
2002,PSMB8,-2.438,0.0178828917602307
2006,TOX2,-2.023,0.0178443466282307
2007,RNF126,-1.7109999999999999,0.0177518789388975
2009,WDR13,-1.329,0.0178110970265594
2010,ECHS1,-1.0190000000000001,0.0177513974824658
2011,ATP6V1F,-1.3719999999999999,0.0178181191771575
2012,RHBDD2,-1.26,0.0178909504847675
