,Gene_symbol,Log_FoldChange,PValue
897,FAM151A,1.935,0.0239176097063319
906,RANBP3L,1.18,0.0239946629360769
907,CD52,1.486,0.0240900295235133
911,DNAJC5B,2.279,0.0242244442884449
913,LOC100996721,4.606,0.024433893617103998
915,TMIGD3,1.579,0.0244816433764058
919,UPK3A,2.338,0.0245613505121008
925,SIGLEC9,1.186,0.0248632930636949
928,TTTY9A,3.7060000000000004,0.0250155748180761
932,MATK,1.493,0.0252926522598544
933,PDE11A,1.157,0.0253293338838181
934,LINC01497,3.1239999999999997,0.0256154009387117
936,GIMAP1-GIMAP5,1.209,0.0256890273857603
938,ESRRG,1.7930000000000001,0.0258408247495998
939,CD80,1.5959999999999999,0.0261686447476485
943,GDF5,1.39,0.0260635868258249
